Year,Team,League,Games,Runs,Runs_Allowed,Hits,Homeruns,Avgerage_Runs,Average_Runs_Allowed,Average_Hits,Average_Homeruns
1997,Anaheim Angels,AL,162,829,794,1531,161,5.12,4.9,9.45,0.99
1998,Anaheim Angels,AL,162,787,783,1530,147,4.86,4.83,9.44,0.91
1999,Anaheim Angels,AL,162,711,826,1404,158,4.39,5.1,8.67,0.98
2000,Anaheim Angels,AL,162,864,869,1574,236,5.33,5.36,9.72,1.46
2001,Anaheim Angels,AL,162,691,730,1447,158,4.27,4.51,8.93,0.98
2002,Anaheim Angels,AL,162,851,644,1603,152,5.25,3.98,9.9,0.94
2003,Anaheim Angels,AL,162,736,743,1473,150,4.54,4.59,9.09,0.93
2004,Anaheim Angels,AL,162,836,734,1603,162,5.16,4.53,9.9,1
1998,Arizona Diamondbacks,NL,162,665,812,1353,159,4.1,5.01,8.35,0.98
1999,Arizona Diamondbacks,NL,162,908,676,1566,216,5.6,4.17,9.67,1.33
2000,Arizona Diamondbacks,NL,162,792,754,1466,179,4.89,4.65,9.05,1.1
2001,Arizona Diamondbacks,NL,162,818,677,1494,208,5.05,4.18,9.22,1.28
2002,Arizona Diamondbacks,NL,162,819,674,1471,165,5.06,4.16,9.08,1.02
2003,Arizona Diamondbacks,NL,162,717,685,1467,152,4.43,4.23,9.06,0.94
2004,Arizona Diamondbacks,NL,162,615,899,1401,135,3.8,5.55,8.65,0.83
2005,Arizona Diamondbacks,NL,162,696,856,1419,191,4.3,5.28,8.76,1.18
2006,Arizona Diamondbacks,NL,162,773,788,1506,160,4.77,4.86,9.3,0.99
2007,Arizona Diamondbacks,NL,162,712,732,1350,171,4.4,4.52,8.33,1.06
2008,Arizona Diamondbacks,NL,162,720,706,1355,159,4.44,4.36,8.36,0.98
2009,Arizona Diamondbacks,NL,162,720,782,1408,173,4.44,4.83,8.69,1.07
2010,Arizona Diamondbacks,NL,162,713,836,1366,180,4.4,5.16,8.43,1.11
2011,Arizona Diamondbacks,NL,162,731,662,1357,172,4.51,4.09,8.38,1.06
2012,Arizona Diamondbacks,NL,162,734,688,1416,165,4.53,4.25,8.74,1.02
2013,Arizona Diamondbacks,NL,162,685,695,1468,130,4.23,4.29,9.06,0.8
2014,Arizona Diamondbacks,NL,162,615,742,1379,118,3.8,4.58,8.51,0.73
2015,Arizona Diamondbacks,NL,162,720,713,1494,154,4.44,4.4,9.22,0.95
2016,Arizona Diamondbacks,NL,162,752,890,1479,190,4.64,5.49,9.13,1.17
2017,Arizona Diamondbacks,NL,102,519,404,909,131,5.09,3.85,8.91,1.28
1970,Atlanta Braves,NL,162,736,772,1495,160,4.54,4.77,9.23,0.99
1971,Atlanta Braves,NL,162,643,699,1434,153,3.97,4.31,8.85,0.94
1972,Atlanta Braves,NL,155,628,730,1363,144,4.05,4.71,8.79,0.93
1973,Atlanta Braves,NL,162,799,774,1497,206,4.93,4.78,9.24,1.27
1974,Atlanta Braves,NL,163,661,563,1375,120,4.06,3.45,8.44,0.74
1975,Atlanta Braves,NL,161,583,739,1323,107,3.62,4.59,8.22,0.66
1976,Atlanta Braves,NL,162,620,700,1309,82,3.83,4.32,8.08,0.51
1977,Atlanta Braves,NL,162,678,895,1404,139,4.19,5.52,8.67,0.86
1978,Atlanta Braves,NL,162,600,750,1313,123,3.7,4.63,8.1,0.76
1979,Atlanta Braves,NL,160,669,763,1389,126,4.18,4.77,8.68,0.79
1980,Atlanta Braves,NL,161,630,660,1352,144,3.91,4.1,8.4,0.89
1981,Atlanta Braves,NL,107,395,416,886,64,3.69,3.89,8.28,0.6
1982,Atlanta Braves,NL,162,739,702,1411,146,4.56,4.33,8.71,0.9
1983,Atlanta Braves,NL,162,746,640,1489,130,4.6,3.95,9.19,0.8
1984,Atlanta Braves,NL,162,632,655,1338,111,3.9,4.04,8.26,0.69
1985,Atlanta Braves,NL,162,632,781,1359,126,3.9,4.82,8.39,0.78
1986,Atlanta Braves,NL,161,615,719,1348,138,3.82,4.47,8.37,0.86
