Arizona Diamondbacks,2000,2000-2004,3278661
Arizona Diamondbacks,2001,2000-2004,3388445
Arizona Diamondbacks,2002,2000-2004,3496957
Arizona Diamondbacks,2003,2000-2004,3600163
Arizona Diamondbacks,2004,2000-2004,3723359
Arizona Diamondbacks,2005,2005-2009,3884588
Arizona Diamondbacks,2006,2005-2009,4046571
Arizona Diamondbacks,2007,2005-2009,4175595
Arizona Diamondbacks,2008,2005-2009,4287323
Arizona Diamondbacks,2009,2005-2009,4364094
Arizona Diamondbacks,2010,2010-2016,4205016
Arizona Diamondbacks,2011,2010-2016,4248813
Arizona Diamondbacks,2012,2010-2016,4325218
Arizona Diamondbacks,2013,2010-2016,4396197
Arizona Diamondbacks,2014,2010-2016,4479955
Arizona Diamondbacks,2015,2010-2016,4567857
Arizona Diamondbacks,2016,2010-2016,4661537
Atlanta Braves,2000,2000-2004,4281905
Atlanta Braves,2001,2000-2004,4432950
Atlanta Braves,2002,2000-2004,4555490
Atlanta Braves,2003,2000-2004,4673146
Atlanta Braves,2004,2000-2004,4802300
Atlanta Braves,2005,2005-2009,4947012
Atlanta Braves,2006,2005-2009,5119641
Atlanta Braves,2007,2005-2009,5267527
Atlanta Braves,2008,2005-2009,5385586
Atlanta Braves,2009,2005-2009,5475213
Atlanta Braves,2010,2010-2016,5303929
Atlanta Braves,2011,2010-2016,5373558
Atlanta Braves,2012,2010-2016,5452145
Atlanta Braves,2013,2010-2016,5517230
Atlanta Braves,2014,2010-2016,5605765
Atlanta Braves,2015,2010-2016,5699050
Atlanta Braves,2016,2010-2016,5789700
Baltimore Orioles,2000,2000-2004,2557501
Baltimore Orioles,2001,2000-2004,2577904
Baltimore Orioles,2002,2000-2004,2600580
Baltimore Orioles,2003,2000-2004,2621815
Baltimore Orioles,2004,2000-2004,2638066
Baltimore Orioles,2005,2005-2009,2649586
Baltimore Orioles,2006,2005-2009,2662048
Baltimore Orioles,2007,2005-2009,2669702
Baltimore Orioles,2008,2005-2009,2677712
Baltimore Orioles,2009,2005-2009,2690886
Baltimore Orioles,2010,2010-2016,2715705
Baltimore Orioles,2011,2010-2016,2735170
Baltimore Orioles,2012,2010-2016,2755622
Baltimore Orioles,2013,2010-2016,2771765
Baltimore Orioles,2014,2010-2016,2784254
Baltimore Orioles,2015,2010-2016,2793837
Baltimore Orioles,2016,2010-2016,2798886
