Arizona Diamonbacks	"Phoenix-Mesa-Scottsdale, AZ"
Atlanta Braves	"Atlanta-Sandy Springs-Roswell, GA"
Baltimore Orioles	"Baltimore-Columbia-Towson, MD"
Boston Red Sox	"Boston-Cambridge-Newton, MA-NH"
Chicago Cubs	"Chicago-Naperville-Elgin, IL-IN-WI"
Chicago White Sox	"Chicago-Naperville-Elgin, IL-IN-WI"
Cincinnati Reds	"Cincinnati, OH-KY-IN"
Cleveland Indians	"Cleveland-Elyria, OH"
Colorado Rockies	"Denver-Aurora-Lakewood, CO"
Detroit Tigers	"Detroit-Warren-Dearborn, MI"
Houston Astros	"Houston-The Woodlands-Sugar Land, TX"
Kansas City Royals	"Kansas City, MO-KS"
Los Angeles Angels	"Los Angeles-Long Beach-Anaheim, CA"
Los Angeles Dodgers	"Los Angeles-Long Beach-Anaheim, CA"
Miami Marlins	"Miami-Fort Lauderdale-West Palm Beach, FL"
Milwaukee Brewers	"Milwaukee-Waukesha-West Allis, WI"
Minnesota Twins	"Minneapolis-St. Paul-Bloomington, MN-WI"
New York Mets	"New York-Newark-Jersey City, NY-NJ-PA"
New York Yankees	"New York-Newark-Jersey City, NY-NJ-PA"
Oakland Athletics	"San Francisco-Oakland-Hayward, CA"
Philadelphia Phillies	"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
Pittsburgh Pirates	"Pittsburgh, PA"
San Diego Padres	"San Diego-Carlsbad, CA"
San Francisco Giants	"San Francisco-Oakland-Fremont, CA"
Seattle Mariners	"Seattle-Tacoma-Bellevue, WA"
St. Louis Cardinals	"St. Louis, MO-IL"
Tampa Bay Rays	"Tampa-St. Petersburg-Clearwater, FL"
Texas Rangers	"Dallas-Fort Worth-Arlington, TX"
Washington Nationals	"Washington-Arlington-Alexandria, DC-VA-MD-WV"
